Composer,Title,Instrumentation,Comments,Played,Condition
Mendelssohn,Symphony #5,,,,
Mendelssohn,Verlein uns Frieden Cantata,,,,
"Menotti, G-C","Intro, March & Shepherd's Dance",,,,
Moussorsky,Intro to opera Khovanchina,,,,
"Mozart, W",Adagio - Wind Sextet,,,,
"Mozart, W",Adagio in E for Violin & Orchestra,,,,
"Mozart, W",Divertimento #1,,,,
"Mozart, W",Don Giovanni - Arias #12 & #17,,,,
"Mozart, W",Horn Concerto #3,,,,
"Mozart, W",Horn Concerto #4 (Doug Spence Memorial),,,,
"Mozart, W",Magic Flute Overture,,,,
"Mozart, W","Motette: Exsultate, Jubilate",,,,
"Mozart, W",Overture Symphony No. 32,,,,
"Mozart, W",Overture to Il Seraglio,,,,
"Mozart, W",Piano Concerto #17,,2012 photocopies-not good,,
"Mozart, W",Piano Concerto #20,,,,
"Mozart, W",Piano Concerto #24,,,,
"Mozart, W",Piano Concerto #27 Bb Major K595,,,,
"Mozart, W",Rondo Fur die Violine,,,,
"Mozart, W",Sinfonia Concertante K Anh 1/9 (Konzertantes Quartett),,,,
"Mozart, W",Symphony No. 29,,,,
"Mozart, W",Symphony No. 36 in C,,,,
"Mozart, W",Symphony No. 38 'Prague',,,,
"Mozart, W",Symphony No. 41 'Jupiter',,,,
"Nelhybel, V",Music for Orchestra,,*score?,,
"Offenbach, J",Bluebeard - Paraphrase on the Operetta,,,,
"Offenbach, J",Overture La Perichole,,,,
"Pachelbel, J",Canon for 3 Vln Vlc/Bas Cem,,,,
"Piston, W",Three Pieces for Flt Clr Bsn,,,,
"Piston, W",Variations on a Theme by EB Hill,,,,
"Prokofieff, S",Classical Symphony,,,,
"Prokofiev, S",Lieutenant Kije Suite,on loan to NWSO Aug. /19 (rtd.),,,
"Prokofieff, S",Overture to War and Peace,,,,
"Prokofieff, S",Symphony #7,,,,
"Prokofieff, S",The Love of 3 Oranges Suite,,,,
Puccini,Preludio Sinfonico,,,,
"Purcell, H",Suite Lambert Comus,,,,
"Ravel, M",Pavane pour en Infante Defunte,,,,
"Reed, Alfred",A Festival Prelude for Orchestra,,,,
"Rimsky-Korsakov, N",Capriccio Espagnol,,photocopies *score?,,
"Rimsky-Korsakov, N",Scheherazade Op. 35,,no score,,
"Rimsky-Korsakov, N",Suite de Opera 'Le Coq D'Or',,,,
"Rodgers, Richard",The King and I (selections),,,,
"Rossini, G",Barber of Seville Overture,,*score?,,
"Rossini, G",Il Signor Bruschino Overture,,score only,,
"Rossini, G","Intro, Theme & Variations: Clarinet and Orchestra",,,,
"Rossini, G",Overture L'Italiana in Alger,,,,
"Rossini, G",Overture to William Tell,,,,
"Rossini, G",Semiramide Overture,,,,
"Rossini, G",Soirees Musicales (arr. Britten),,,,
"Saint-Saens, C",Piano Concerto #2,,,,
"Sarasate, P",Navara Op. 33,,,,
"Schaeffer, Don (arr.)",Christmas Collection for Band Instruments,,"C, F, Bb and Bass Inst. at back",,
"Schubert, F",5 German Dances and 7 Trios,,Vln/Vln/Vla/Vcl,,
"Schubert, F",Symphony No. 1,,,,
"Schubert, F",Symphony No. 5,,*score?,,
"Schubert, F",Symphony No. 8 (Unfinished),,,,
"Schumann, R",Overture to Genoveva,,,,
"Schumann, R",Overture to Manfred,,,,
"Schumann, R",Symphony No. 4,,,,
"Shostakovich, D",Festive Overture,,photocopy - score only,,
"Shostakovich, D",Suite Golden Age,,,,
"Shostakovich, D",Symphony No. 5 Op. 47 D,,,,
"Shostakovich, D",Symphony No. 9 Op. 70 Eb,,,,
"Sibelius, J",Finlandia (Tone Poem),,,,
"Sibelius, J",Romance in C Op. 42,,strings only,,
"Sibelius, J",Symphony No. 2,,good full score - bad photocopied parts discarded,,
"Sibelius, J",Symphony No. 3 (Dritte Symphonie),,,,
"Sibelius, J",Symphony No. 6,,,,
"Sibelius, J",The Swan of Tuonela,,,,
"Sibelius, J",Violin Concerto in D Major,,,,
"Sousa, JP",El Capitan March,,,,
"Spohr, L",Concerto No. 2 in D Minor for Violin,,,,
"Spohr, L",Jessonda Overture,,,,
"Stamitz, K",Concerto for Clarinet B Minor,,,,
"Stevens, B",Eclogue for small Orchestra,,,,
"Strauss, R",Fledermaus - Champagne Trio,,,,
"Strauss, R",Horn Concerto,,,,
"Strauss, R",Laughing Song and Overture - Die Fledermaus,,,,
"Strauss, R",Serenade,,,,
"Strauss, R",Tod und Verklarung,,,,
Stravinsky (arr.),Bercuese & Finale - Firebird,,,,
Sullivan,Gondoliers 1.Overture 2.Dance a Cachuca 3.Royal Queen 4. Quintetto & Finale,,,,
Tartini-Bonelli,Concerto in A Major for Archi Obo Horn,,,,
"Tedesco, Castelnuovo",Guitar Concerto,,,,
Telemann,Concerto #5 in C Minor for Obo Str,,,,
"Tschaikowsky, P",Piano Concerto #1 in Bb,,,,
"Tschaikowsky, P",Romeo & Juliette Overture,,,,
"Tschaikowsky, P",Swan Lake Suite Op. 20A,,,,
"Tschaikowsky, P",Symphony No. 1,,,,
"Tschaikowsky, P",Symphony No. 4,,,,
"Tschaikowsky, P",Symphony No. 5,,,,
"Tschaikowsky, P",Symphony No. 6,,,,
"Verdi, G",Overture La forza del Destino,,,,
"Verdi, G",Overture Nabucco,,,,
Villa-Lobos,Quatour Flt Obo Clr BSn,,,,
"Vivaldi, A",Concerto Bassoon Bb Major,,,,
"Vivaldi, A",Concerto Bassoon D Major,,photocopies,,
"Vivaldi, A",Concerto for 2 Flutes,,photocopies,,
"Vivaldi, A",Concerto Grosso in D Major,,,,
"Vivaldi, A",Concerto in D 2-Vln 2-Vlc,,photocopies,,
"Vivaldi, A",The Seasons Op. 8 No. 1 (Spring-Summer-Fall-Winter),,,,
"Wagner, R",Elsa's Procession to the Cathedral,,,,
"Wagner, R",Parsifal Good Friday Music,,,,
"Wagner, R",Parsifal Procession of the Grail,,,,
"Wagner, R",Prelude to Act 1 Lohengrin,,,,
"Wagner, R",Siegfied Idyll,,missing?,,
"Wagner, R",Walter's Prize Song,,,,
"Walton, W",A Shakespeare Suite Richard III,,,,
"Weber, CM",Clarinet Concerto No. 1 F Minor,,,,
"Weber, CM",Overture Euryanthe,,,,
"Weisgarber, E",Pacific Trilogy,,score in misc. drawer,,
"Wesley, Samuel",Symphony #5 in A Major,,last classical early Romantic,,
"Wieniawski, H",Violin Concerto #2,,no score,,
"Williams, Grace",Fantasia on Welsh Nursery Tunes,,,,
"Wilson, Cam",The Sea & the Bells,,commissioned by VPO in memory of Wallace Leung Feb 2004 Premiere,,
"Wise, Ari",Elegy,,,,
